ID	Gene Symbol
1759068_at	c4728
1759069_at	mrr
1759071_s_at	ECs3365 /// yfgF /// yfgF /// Z3766
1759072_s_at	c1549 /// ECs1611 /// ECs2987 /// Z0312 /// Z1450 /// Z1868 /// Z3356
1759073_at	ycfK
1759074_at	yfbN
1759075_at	ggt
1759077_s_at	ECs1076 /// Z1340
1759078_at	c2520
1759079_at	c0978
1759080_s_at	c5425 /// ECs5308 /// Z5948
1759084_s_at	treA /// treA /// treA
1759085_at	kdpD
1759086_s_at	ECs3712 /// Z4176
1759087_s_at	ECs1513 /// Z1777
1759088_s_at	ECs0915 /// yliG /// yliG
1759089_s_at	ECs3254 /// frc /// yfdW /// Z3639
1759090_at	ECs1315
1759091_at	speF
1759093_s_at	ECs3240 /// Z3622
1759094_s_at	ECs3009 /// Z3371
1759095_s_at	c5387 /// ECs5268 /// yjhS /// yjhS
1759096_at	c5174
1759097_at	pgm
1759098_s_at	ECs0245 /// Z0275
1759099_at	ECs2180
1759100_s_at	yahB /// Z0404
1759101_s_at	ECs1594 /// Z1851
1759102_s_at	rnc /// rnc
1759104_at	c4529
1759105_s_at	ECs5350 /// slt /// slt
1759106_s_at	ECs4198 /// fkpA /// fkpA
1759107_s_at	ECs2653 /// yecF /// yecF
1759108_s_at	ECs2393 /// ydiI /// ydiI /// Z2714
1759109_s_at	ECs3063 /// yeiP /// yeiP
1759111_at	kpsM
1759112_at	c2457
1759113_s_at	ECs0975 /// ftsK /// ftsK
1759114_s_at	apbE /// ECs3103 /// yojL
1759115_s_at	mltB
1759116_at	c5371
1759118_s_at	ECs2880 /// Z3240
1759121_at	c4753
1759122_s_at	thrA /// thrA
1759123_at	c3064
1759124_s_at	ECs3025 /// yohG
1759125_at	c5421
1759126_at	glnE
1759127_s_at	ECs3887 /// yghA /// yghA
1759128_at	gshB
1759129_s_at	ECs3834 /// yggN /// yggN
1759130_s_at	ECs2358 /// ydhL /// Z2665
1759132_at	sokB
1759133_s_at	ECs1899 /// ycjW /// ycjW
1759134_s_at	ECs2306 /// mdtJ /// ydgF /// Z2594
1759135_s_at	ECs3965 /// ygjN /// ygjN
1759136_s_at	c2236 /// ECs2537 /// kdgR /// Z2874
1759137_s_at	ECs3782 /// ygfA /// ygfA
1759138_s_at	ECs3747 /// yqeA /// yqeA
1759139_s_at	ECs0276 /// Z0310
1759140_s_at	ECs2055 /// Z2268
1759141_x_at	c0270
1759142_at	hrpA
1759143_at	ygeV
1759144_at	c1487
1759145_at	ycjM
1759146_at	c3133
1759147_at	ECs3718
1759148_s_at	ECs2279 /// Z6073
1759149_at	c3400
1759150_at	yjcS
1759152_at	yabN
1759153_s_at	c2531 /// ECs2805 /// yeeU /// yeeU
1759154_at	Z0362
1759156_s_at	ECs5021 /// yjbI
1759157_s_at	Z4999
1759158_s_at	ECs2973 /// stx1B
1759159_s_at	ECs3757 /// ygfQ /// Z4223
1759160_s_at	c0952
1759161_s_at	hycB /// hycB
1759162_at	serB
1759163_s_at	ygcS /// ygcS /// Z4083m
1759164_s_at	ECs3476 /// grpE /// grpE
1759165_at	entF
1759166_s_at	ECs0193 /// yaeJ /// yaeJ
1759167_at	Z1843
1759168_at	yhiX
1759169_at	nrdF
1759170_s_at	ECs5237 /// pepA /// pepA
1759171_s_at	ygiH /// ygiH
1759172_s_at	ECs1510 /// Z1774
1759173_s_at	ECs3291 /// yfeK /// yfeK
1759174_s_at	ECs3264 /// ypdE /// ypdE /// Z3649
1759176_s_at	ECs3994 /// tdcE /// tdcE
1759178_s_at	ECs3061 /// fruB /// fruB
1759179_s_at	ECs1856 /// osmB
1759180_x_at	ECs1991 /// Z3310
1759181_s_at	ECs2502 /// yoaF /// yoaF
1759182_s_at	ECs4111 /// yhcN /// yhcN
1759183_at	Z4187
1759184_at	yfgA
1759185_s_at	ECs0557 /// ybbA /// ybbA
1759186_s_at	c0869
1759187_at	ryeA
1759188_s_at	ECs0131 /// yadG /// yadG /// yadG
1759189_s_at	ECs3630 /// ygcW /// ygcW
1759191_s_at	ECs3901 /// ftsP /// sufI
1759192_at	ruvB
1759193_s_at	ECs4202 /// kefG /// yheR
1759195_s_at	ECs0577 /// ylbA
1759196_s_at	lspA /// lspA
1759198_s_at	ECs4097 /// nanT /// nanT
1759199_s_at	ECs1812 /// Z6024
1759201_s_at	ECs3946 /// ttdT /// ygjE /// ygjE
1759202_s_at	ECs2531 /// yebN /// yebN /// Z2864
1759203_at	ygbE
1759204_at	lacZ
1759205_at	quuQ
1759206_s_at	ECs3830 /// yggV
1759208_at	c3149
1759211_s_at	ECs0324 /// matA /// matA /// ykgK
1759212_s_at	ECs0463 /// yajD /// yajD
1759213_s_at	c2225
1759214_at	c0366
1759215_s_at	ecnA /// ecnA
1759216_s_at	c3891 /// ECs4014 /// Z4488
1759217_s_at	ECs1584 /// Z1843
1759218_s_at	fruK /// fruK
1759219_s_at	ECs5133 /// frdC /// frdC
1759221_s_at	ECs1511 /// Z1775
1759222_at	yqiH
1759223_at	ECs1569
1759224_s_at	ECs2860 /// wcaE /// wcaE
1759225_s_at	c0974
1759226_s_at	ECs4080 /// lptB /// yhbG
1759227_s_at	ECs4815 /// yiiE /// yiiE
1759230_s_at	yiaK /// yiaK
1759231_s_at	ECs3769 /// ygfY /// ygfY
1759233_at	yafL
1759234_s_at	c2504
1759235_at	flgF
1759236_s_at	c0094
1759238_s_at	ECs2990 /// Z3358
1759239_s_at	cusC /// cusC /// ECs0610 /// ylcB
1759240_s_at	c2985 /// ECs3322 /// eutQ /// Z3716
1759241_at	ybgO
1759242_s_at	lipB /// lipB
1759243_at	nagC
1759244_at	c3635
1759246_s_at	ECs0377 /// Z0418
1759247_at	lit
1759248_at	hsdR
1759249_at	c2460
1759250_at	c2963
1759251_s_at	ECs0224 /// Z0255
1759253_at	perM
1759254_at	c4973
1759255_at	yhcE
1759256_s_at	ECs2123 /// lsrB /// Z2189
1759257_s_at	c0488
1759258_s_at	ECs5291 /// Z5932
1759259_at	sgcE
1759260_s_at	ydeE /// ydeF
1759261_at	chuW
1759262_at	Z2562
1759264_s_at	ECs3039 /// yeiA /// yeiA
1759265_s_at	ECs0664 /// ybeM /// ybeM /// ybeM
1759266_at	yagH
1759267_at	Z0341
1759268_at	c4577
1759269_at	ykfF
1759270_s_at	gltD
1759271_at	c3766
1759272_at	Z4104
1759273_at	yjbB
1759275_at	ECs1567
1759276_s_at	ECs3714 /// ygeN /// Z4179
1759277_at	ECs4946
1759278_at	ECs5541
1759279_at	Z1447
1759280_s_at	ECs2870 /// Z3231
1759281_at	entE
1759282_at	c2470
1759284_at	ECs4990
1759286_s_at	ECs1952 /// Z2390
1759287_s_at	ECs1727 /// narX /// narX
1759289_s_at	ECs1890 /// ycjO /// ycjO /// ycjO
1759290_at	c1426
1759291_s_at	ECs0616 /// nfnB /// nfsB
1759292_x_at	c1443
1759293_s_at	ECs0008 /// talB
1759294_at	c1507
1759295_s_at	c1802 /// ECs1910 /// ycjZ /// ycjZ
1759296_s_at	ECs0642 /// ybdO /// ybdO
1759298_s_at	ECs2380 /// ydhV /// ydhV /// Z2701
1759299_s_at	ECs0558 /// tesA
1759300_at	c1893
1759301_s_at	ECs1075 /// Z1339
1759302_s_at	cheW /// ECs2597
1759303_s_at	ccrB /// crcB
1759304_s_at	ECs1748 /// yciU /// yciU /// Z2024
1759305_s_at	ECs3465 /// yfiL /// yfiL
1759306_at	priC
1759308_s_at	ECs1502 /// xisN /// xisN
1759309_s_at	dps /// dps /// ECs0890
1759310_at	ucpA
1759312_at	c1220
1759313_s_at	ECs3149 /// menC /// menC
1759314_s_at	nrdF /// nrdF
1759315_s_at	ECs3219 /// Z3598
1759316_at	c2564
1759317_at	c3656
1759318_s_at	c5343
1759319_s_at	ECs2018 /// Z2310
1759321_s_at	ECs3100 /// yojI /// yojI
1759323_at	folK
1759324_s_at	c4442
1759325_at	c2727
1759326_at	c0937
1759327_s_at	ECs4590 /// Z5142
1759328_s_at	cadC /// cadC /// ECs5115
1759329_s_at	ECs3057 /// yeiN /// yeiN
1759330_at	yccE
1759331_s_at	ECs1044 /// yccS /// yccS /// Z1311
1759332_s_at	dacB /// dacB /// ECs4061
1759333_s_at	ECs5153 /// purA
1759334_s_at	ECs5297 /// yjiL /// yjiL
1759335_s_at	ECs3252 /// yfdV /// yfdV /// Z3635
1759336_at	c4775
1759337_s_at	trpD /// trpD
1759338_s_at	ECs3385 /// pbpC /// pbpC
1759339_at	oxyS
1759340_s_at	ECs2913 /// yohN /// yohN /// Z3275
1759342_s_at	papC /// papC_2
1759343_s_at	ECs3389 /// pepB
1759344_s_at	ECs5284 /// yjiC
1759345_s_at	ECs3620 /// sscR /// ygcM
1759346_s_at	c2388 /// yedX
1759347_s_at	ECs3772 /// yqfB /// yqfB
1759349_s_at	Z2263
1759350_s_at	c0427 /// ECs0351 /// Z0391
1759351_s_at	ECs1161 /// xisW
1759352_s_at	rplP /// rplP
1759353_at	c0290
1759354_at	yihW
1759356_at	afuC
1759357_at	potG
1759358_s_at	c1406
1759359_at	ebgA
1759362_s_at	c3925
1759363_s_at	ECs3244 /// Z3626
1759364_s_at	ECs3707 /// ygeF /// Z4171
1759366_at	c4497
1759367_at	ybgP
1759368_s_at	ECs4151 /// smf /// smf
1759369_at	ECs5422
1759372_at	c2471
1759374_s_at	cyoB /// ECs0485
1759376_s_at	ECs4781 /// yihD /// yihD
1759378_s_at	ECs5420 /// Z1839
1759379_s_at	dsbA /// ECs4783
1759382_s_at	mrp /// mrp
1759383_s_at	hybD /// hybD
1759384_s_at	creB /// creB /// ECs5356
1759385_s_at	ECs0767 /// Z0898
1759386_x_at	ECs2819 /// hisL
1759387_s_at	ECs4498 /// rfaF
1759388_at	c4656
1759389_s_at	mtlR /// mtlR
1759390_s_at	ECs0368 /// yahE /// yahE
1759393_s_at	hscB /// hscB
1759394_s_at	ECs1397 /// Z1212 /// Z1652
1759395_s_at	dppA /// dppA /// dppA /// ECs4424
1759396_at	ydbK
1759397_at	ycjW
1759398_s_at	ECs2979 /// Z3348
1759399_s_at	ECs3456 /// yfiH /// yfiH
1759400_s_at	ECs2934 /// yehR /// yehR /// yehR
1759401_at	c0428
1759402_s_at	ECs4562 /// Z5113
1759403_s_at	c0348 /// c1209
1759404_s_at	c1463
1759406_s_at	ECs0721 /// speF
1759407_s_at	ECs4053 /// yhbX /// yhbX /// yhbX
1759408_s_at	ECs0903 /// fsaA /// mipB
1759409_s_at	ECs2074 /// Z2241
1759410_s_at	ECs3317 /// eutE /// eutE /// eutE
1759411_at	hrpB
1759412_at	sfaD
1759413_at	cysU
1759414_s_at	chpR /// chpR /// ECs3643
1759415_at	Z6017
1759416_s_at	ECs2978 /// Z3347
1759417_at	arpA
1759418_at	ydaS
1759419_at	yadK
1759420_s_at	ECs1986 /// Z3314
1759421_s_at	ECs2350 /// slyB /// slyB /// slyB
1759422_at	yjdB
1759423_x_at	Z1346
1759424_at	c3407
1759425_s_at	pcnB
1759426_at	yfjM
1759427_s_at	c1089
1759428_s_at	ccmG /// dsbE /// dsbE /// ECs3084
1759429_s_at	feoB /// feoB
1759430_s_at	yigB /// yigB
1759431_s_at	ECs4475 /// mtlA /// mtlA /// mtlA
1759432_s_at	ECs0506 /// tesB
1759434_s_at	ilvH /// ilvH
1759435_at	yieH
1759436_at	c5132
1759437_s_at	ECs0600 /// nfrA
1759438_s_at	ECs3172 /// nuoA /// nuoA
1759439_at	ryhB
1759440_at	yncD
1759442_at	ybdO
1759443_s_at	ECs2836 /// manC
1759444_at	c3243
1759445_s_at	c3734 /// ECs3882 /// hybO /// Z4351
1759446_s_at	ECs0729 /// ECs4470 /// ECs4864 /// rhsA /// rhsA /// rhsB /// rhsC /// rhsC /// Z5485
1759448_at	ybeW
1759449_at	ygiE
1759450_s_at	c0259 /// ECs3869 /// Z4340
1759451_s_at	ECs5180 /// yjfZ /// yjfZ
1759452_at	c2498
1759453_at	c4484
1759454_s_at	ECs0576 /// glxK /// ybbZ
1759455_at	cysN
1759456_at	ECs4656
1759457_at	c1890
1759458_s_at	ECs1664 /// Z1932
1759459_s_at	ECs3919 /// yqiA /// yqiA
1759460_s_at	Z1816
1759461_s_at	glnQ
1759462_s_at	ECs0139 /// yadC
1759463_at	c4550
1759464_x_at	c1561
1759465_at	ECs4995
1759466_at	livK
1759467_s_at	ECs2386 /// sufE /// ynhA
1759468_at	ydaT
1759470_s_at	bglB /// bglB
1759471_s_at	ECs4884 /// yijP /// yijP
1759472_s_at	ECs4565 /// sepQ
1759473_s_at	dcyD /// yedO
1759474_at	ptsA
1759475_at	c4860
1759476_at	c3045
1759477_s_at	ECs3130 /// yfaU /// yfaU /// Z3503
1759478_at	yjbM
1759479_s_at	c5198 /// ECs0288 /// Z0322
1759481_at	nanK
1759482_at	focG
1759483_at	c4557
1759484_at	c1416
1759485_s_at	ECs4237 /// hofM /// yrfD
1759487_at	ilvA
